题干,内容
前庭大腺囊肿最有效的治疗方法是,"A.脓肿切开造口术 B.口服抗菌药物 C.中药 D.脓肿剥除术 E.局部坐浴
参考答案：A"
最常见的子宫肉瘤类型是,"A.平滑肌肉瘤 B.低度恶性间质肉瘤 C.高度恶性间质肉瘤 D. 恶性苗勒管混合瘤 E.淋巴管内间质肉瘤
参考答案：A"
子宫肉瘤组织发生不可能来源于,"A.子宫浆膜层细胞 B.子宫平滑肌细胞 C.残留的胚胎细胞 D.子宫内膜间质细胞 E.子宫血管平滑肌细胞
参考答案：A"
关于正常脐带，下列选项错误的是,"A.常呈螺旋迂曲状 B. 血管周围华通胶 C. 脐带受压可能导致胎儿缺氧 D.断面可见2条脐静脉、1条脐动脉 E.一端连于胎儿腹壁脐轮，另一端附着于胎盘胎儿面
参考答案：D"
临产后正常宫缩起自,"A.两侧子宫角部 B. 两侧子宫侧壁 C.宫颈部 D.子宫下段 E.宫底部
参考答案：A"
hCG的检测不能协助诊断的疾病,"A.异位妊娠 B.葡萄胎 C.子宫内膜异位症 D.原发性卵巢绒癌 E.流产
参考答案：C"
关于子宫下段的说法，正确的是,A.为临产后的子宫颈 B.孕中期的子宫颈扩展为宫腔的一部分 C.孕16周扩展成宫腔的一部分 D.临产后子宫颈伸展可达7-10cm E.由非孕时的子宫峡部伸展形成
在妊娠期间，人绒毛膜促性腺激素分泌量达高峰的时期是,"A.妊娠5-7周 B.妊娠8-10周 C.妊娠11-13周 D.妊娠14-16周 E.妊娠17-19周
参考答案：B"
角膜移植病人出院时，告诉病人保护手术眼的注意事项，下列哪项是错误的,"A.戴护眼镜 B.每天用氯霉素眼药水滴眼 C.每天用地塞米松眼药水滴术眼 D.不揉擦术眼 E.每天用阿托品眼药水滴术眼
参考答案：E"
对器官移植病人的出院指导，下列哪项最重要,"A.定期复查 B.饮食宜富含营养易消化 C.长期坚持按时服用免疫抑制药 D.注意适当休息 E.注意保暖防感冒
参考答案：C"
不属于器官移植常用的免疫抑制药是：,"A.乳酸林格白蛋白 B.环孢素 C.肾上腺皮质激素 D.抗淋巴细胞球蛋白 E.环磷酰胺
参考答案：A"
肾移植病人出现下列症状时应警觉有排斥反应，但除外,"A.寒战、发热 B.疲乏无力 C.移植肾区胀痛 D.尿量减少 E.尿量增加
参考答案：E"
不属于栓塞疗法的药物或器械是,"A.甘油乳剂 B.明胶海绵 C.无水乙醇 D.聚乙烯醇 E.不锈钢圈
参考答案：A"
哪项不属于移植前组织配型检查,"A.混合淋巴细胞培养 B.ABO血型相容试验 C.HLA配型 D.检测PrA抗体水平 E.术前各种生化检查
E"
无器质性病变的闭经患者，雌激素试验阳性，FSH很低，垂体兴奋试验有反应，应属哪类闭经,"A.卵巢性 B.丘脑性 C.子宫性 D.垂体性 E.以上都不是
参考答案：B"
下列引起原发性闭经的疾病是,"A.空蝶鞍综合征 B.神经性厌食 C.Asherman综合征 D.Turner综合征 E.颅咽管瘤
参考答案：D"
卵巢性闭经不包括,"A.卵巢早衰 B.卵巢切除 C.卵巢功能性肿瘤 D.低促性腺激素性闭经 E.多囊卵巢综合征
参考答案：D"
诊断子宫性闭经的依据是,"A.注射黄体酮有撤退性出血 B.注射黄体酮无撤退性出血 C.雌孕激素无撤退性出血 D.雌孕激素有撤退性出血 E.雌激素有撤退性出血
参考答案：C"
无反复发作性特点的眩晕疾患是,"A.良性发作性位置性眩晕（BPPV）B.前庭神经元炎 C.偏头痛相关性眩晕 D.后循环TIA E.梅尼埃病
参考答案：B"
宫颈及部分宫体脱出阴道口时子宫脱垂分度属于,"A.I度轻 B.I度重  C.II度轻 D.II度重 E.III度
参考答案：D"
下列有关子宫托的使用，不正确的是：,"A.护理人员应协助选择适应的型号 B.指导病人放置子宫托前洗净双手 C.子宫托必须由专业人员放置 D.每天睡前应取出子宫托清洗消毒后备用 E.上托后定期到医院检查
参考答案：C"
子宫脱垂的主要原因是,"A.营养不良 B.手术损伤 C.分娩损伤 D.慢性疾病 E.过度负重 
参考答案：C"
有关分娩的概念正确的是,"A.妊娠20周以内分娩为流产 B.妊娠28-36周以内分娩为早产 C.妊娠38-41周分娩为足月产 D.妊娠43周之后分娩为过期产 E.在分娩过程中胎儿死亡称死产
E"
