题干,内容
以下哪项是外鼻静脉的特点,A.分支多，走形复杂 B.血管表浅，管壁厚且有弹性 C.无静脉瓣，血液可以逆向流动 D.面静脉可与海绵窦相通 E.最后汇入颈外静脉 正确答案:C 解析:鼻面部的静脉可经内眦静脉和眼上、眼下静脉而与海绵窦相通，静脉管内无瓣膜使血液可上下流动，故当鼻、面部感染和疖肿时，若治疗不当或用力挤压可能引发海绵窦栓塞或其他颅内并发症。
冠心病三个独立而可控的危险因素是,A.高血压、高胆固醇症、吸烟 B.高血压、高胆固醇症、饮酒 C.高血压、静坐生活方式、吸烟 D.高血压、高胆固醇症、静坐生活方式 E.糖尿病、高胆固醇症、吸烟 正确答案:A
64岁女性，胸骨后疼痛并恶心、胸闷2小时，胸痛与呼吸动作无明显相关，平时无反酸、胃灼热，有冠心病、高血压病、糖尿病史。急诊须检查的项目是,A.胸片 B.心电图 C.心肌酶谱 D.血气分析 E.以上都是 正确答案:E 
哮喘患者自我监测病情最常用肺功能的指标是,A.FEV1/FVC B.Vt C.Dlco D.PEF E.RVITLC 正确答案:D
下列关于血氧饱和度的说法，哪项不正确,A.脉搏氢饱和度是床旁常用的监测指标 B.呼吸异常进入晚期时氧饱和度才会明显降低 C.即使氧饱和度正常，也不能除外气道的问题 D.如果患者虽有呼吸困难却没有氧合障碍，则应立即寻找非呼吸因素如代谢性酸中毒或全身性感染 E.血氧饱和度正常即可除外呼吸衰竭 正确答案:E
颞叶肿瘤的临床表现中不常见的症状是,A.感觉性失语 B.钩回发作 C.幻听 D.情感障碍 E.运动性失语 正确答案:E
桑菊感冒片适用于,A.风热感冒初起 B.风寒感冒初起 C.表里俱实之证 D.暑湿之感冒 E.瘟疫初起 正确答案:A
外伤性视神经管骨折在视神经管隆凸上施行减压术，位于,A.蝶窦前壁 B.蝶窦外侧壁 C.后组筛窦内侧壁 D.蝶窦后璧 E.后组筛窦外侧壁 正确答案:B 解析:熟悉蝶窦解剖学对施行某些鼻神经外科手术极为重要，外伤性视神经管骨折即在蝶窦外侧壁视神经管隆凸上方施行减压术，经鼻--蝶窦脑下垂体瘤摘除术即经蝶窦顶壁施行。
超过16小时的开放性胫骨骨折的处理方法中，下列哪项是正确的,A.清创后一期关闭伤口 B.采用V型针进行内固定 C.采用外固定支架固定 D.采用钢板内固定，并一期关闭伤口 E.为预防感染，骨折内固定后，伤口留待二期缝合 正确答案:C 解析：超过16小时的开放性胫骨骨折污染相对较重，不采用切开复位内固定。
某女，一般在细微的外界刺激甚至无明显外因的影响下情感容易引起波动，常因无关重要的事情而感动得伤心流泪或兴奋激动。该患者的症状属于,A.情感脆弱 B.易激惹 C.焦虑 D.病理性激情 E.病理性心境恶劣 正确答案:A
急性胰腺炎的临床表现，不正确的是,A.有程度不等的腹胀 B.没有腹痛可排除胰腺炎 C.坐位前倾可减轻腹痛 D.发热可持续3~5天 E.恶心、呕吐，呕吐后腹痛不减轻 正确答案:B 解析：腹痛是急性胰腺炎的主要表现，但极少数年老体弱者可无腹痛
造成女性不孕的最常见病因应为,A.不排卵 B.输卵管因素 C.重度宫颈糜烂 D.子宫内膜异位症 E.子宫黏膜下肌瘤 正确答案:B
儿童短管状骨结核最具特征的X线表现为,A.骨气鼓 B.骨皮质破坏 C.死骨和窦道 D.软组织肿胀 E.骨质增生硬化 正确答案:A 解析:短骨骨干结核典型表现为骨内形成囊性破坏，骨皮质变薄，骨干膨胀，故有骨气鼓之称
瓦氏窦瘤破裂最常见的破入部位为,A.右心房 B.右心室 C.室间隔 D.左心房 E.左心室 正确答案:B
女，48岁，反复易饥、出汗、头晕2年，加重伴意识障碍10分钟入院。否认糖尿病史，否认药物使用史。自述每次发作后进食可缓解，外院检查发现血糖2.3mmol。问哪一项检查提示存在胰岛素瘤可能?,A.肝功能显著异常 B.低血糖时胰岛素分泌指数大于0.4 C.餐后低血糖为主 D.有体重下降 正确答案:B 解析:胰岛素瘤导致的低血糖，多于空腹发生，可有whipple三联征，除恶性胰岛素瘤外体重多有增加，低血糖发作时胰岛素分泌指数大于0.4，可考虑胰岛素瘤。严重肝功能异常也可有空腹低血糖，但胰岛素分泌指数多小于0.3，功能性低血糖的胰岛素分泌指数也增高，但多为餐后低血糖。肾上腺皮质功能减退患者可有低钠血症等
下列哪项不可能是气道梗阻的表现,A.心动过速 B.大汗 C.辅助呼吸机参与呼吸动作 D.低血糖 E.三凹征 正确答案:D
治疗要获得病人的知情同意，其道德价值应除外,A.维持社会公正 B.保护患者自主 C.解脱医生责任 D.协调医患关系 E.保证医疗质量 正确答案:C
女，78岁。活动后呼吸困难5年，平时可平地缓慢步行500米左右，间断心悸半年，自觉发作时心跳快且不规律，伴胸闷气短，持续半小时至2小时可自行缓解，1天前再发心悸，伴呼吸困难，不能平卧，持续不缓解。既往陈旧性心肌梗死5年。查体:BP85/60mmHg，意识淡，口唇发绀，双肺满布湿音，心率170次/分，心律不齐。应首选的治疗措施是,A.静脉注射呋塞米 B.静脉滴注硝普钠 C.同步直流电复律 D.主动脉内气囊反搏 E.急诊冠脉介入治疗 正确答案:C
类风湿关节炎的诊断依据中不包括,A.对称性腕关节、掌指关节、近端指间关节疼痛肿胀>6周 B.X线改变 C.RF阳性 D.类风湿结节 E.抗核抗体阳性 正确答案:E
女性，25岁，服敌敌畏昏迷2小时而急送医院。查体:大汗，双瞳孔针尖样大小，双肺布满湿啰音，心率62次/分。最佳的治疗是,A.洗胃+静脉注射解磷定+静脉注射阿托品 B.洗胃+静脉滴注解磷定 C.洗胃+静脉注射阿托品 D.洗胃+给氧 E.洗胃+对症治疗 正确答案:A
骨肉瘤的主要转移途径是,A.淋巴转移 B.消化道转移 C.种植播散 D.跳跃性 E.黄疸 正确答案:E
脑震荡急性阶段的治疗要点是,A.抗焦虑药物治疗 B.抗精神病药物治疗 C.降低颅内压力 D.绝对卧床休息1~2周 E.早期的康复训练 正确答案:D
患者，女，28岁。被人发现昏迷且休克，屋内有火炉，且发现有敌敌畏空瓶。体格检查:T36℃C，BP 120/80mmHg，四肢厥冷，反射消失。心电图示度房室传导阻滞，尿糖(+)，尿蛋白(+)，血液中的CO小时b为60%。诊断该病后，首要的治疗方法是,A.20%甘露醇250 ml快速静脉滴注 B.冬眠疗法 C.血液透析 D.能量合剂 E.氧气疗法 正确答案:E
检查腹股沟疝时，压迫内环的部位应在:,A.腹股沟韧带中点 B.耻骨结节外缘 C.肿块隆起最明显处 D.精索的前内方 E.腹股沟韧带中点上方2厘米 正确答案:E
下列哪项说法错误,A.对重症患者进行评估，必须包括采集完整的病史，详细的体格检查和实验室检查 B.对重症病患者的评估顺序取决于患者病情紧急的程度 C.重症患者需要同时进行病史采集、体格检查和初始的复苏 D.危重患者的紧急处理有时甚至可能影响原发病的诊治 E.危重症治疗常常强调快速诊断和及时处理，积极纠正生理指标的异常 正确答案:A 解析:危重症治疗常常强调快速诊断和及时处理，积极纠正生理指标的异常，有时甚至可能影响原发病的诊治。
慢性化率最高的病毒性肝炎是,A.甲肝 B.成人急性乙肝 C.成人急性丙肝 D.戊肝 E.EB病毒性肝炎 正确答案:C
胸骨骨折的移位多为,A.下折端向前移位，上折端重看于下折端后方 B.上折端向前移位，下折端重叠于上折端后方 C.下折端向左移位，上折端向右移位 D.下折端向右移位，上折端向左移位 E.两骨折端同时向后方移位 正确答案:A
下列关于通气/血流比值的描述，哪一项是错误的?,A.安静时正常值为0.84 B.通气/血流比值下降，意味着发生功能性动-静脉短路 C.通气/血流比值增大，意味着肺泡无效腔增大 D.直立位时，肺尖部的通气/血流比值大于肺下部 E.通气/血流比值小于0.84，不利于肺换气，大于0.84时，则利于肺换气 正确答案:E
女，70岁。急性心肌梗死发病后第2天突然意识丧失、呼吸停止、大动脉搏动消失，经胸部按压、气管插管机械通气后近20分钟恢复心跳、呼吸，但对外界刺激无任何反应。其后续治疗措施正确的是,A.取头低脚高位保证大脑灌注 B.100%纯氧吸入一周以保证充分氧合 C.控制血压在90/60mmHg以下以降低心脏负荷 D.立即拔除气管插管以降低呼吸道感染风险 E.使用冰毯使体温逐渐降低至34℃℃左右 正确答案:E
脑转移瘤最常见部位是,A.大脑皮层 B.脑灰白质交界处 C.脑白质 D.小脑 E.脑干 正确答案:B
女，36岁，右中指指腹针刺伤。3天后指尖有严重跳痛和压痛，指尖肿胀体温37.8℃℃。应采取的治疗措施是,A.肌注青霉素 B.住院治疗，患手抬高并热敷，应用抗生素治疗 C.在指神经阻滞麻醉下行切开引流 D.在全麻下行切开引流 E.使用解热镇痛药物，局部冷敷 正确答案:C
腹腔动脉的主要分支是,A.肝动脉、脾动脉 B.胃左动脉、脾动脉、肠系膜上动脉 C.脾动脉、肾左动脉、肠系膜上动脉 D.肝动脉、胃左动脉 E.肝动脉、脾动脉、胃左动脉 正确答案:E
下列哪项不是化脓性骨关节炎的影像学表现,A.关节间隙改变 B.软骨下骨质破坏，非承重面为明显 C.死骨形成 D.关节脱位 E.骨性强直 正确答案:B
"急性脓胸是指病程在,",A.6周以内 B.1个月以内 C.2个月以内 D.3个月以内 E.6个月以内 正确答案:A 
类风湿关节炎特异性皮肤表现是,A.皮下结节 B.皮肤干燥脱屑 C.褐色色素沉着 D.局部溃破坏死 E.局部肿胀疼痛 正确答案:A
"输血过程中,如果出现异常情况,应该","A.血液内加对症治疗的药物,减慢输血 B.加快输血 C.换一袋同型血输注 D.减慢或停止输血,静脉注射生理盐水维持静脉通路 E.用生理盐水稀释血液后继续输血 正确答案:D"
 女，30岁，因抢救国家公共财物而被大火烧伤，入院时已休克，为迅速扩充血容量最好使用,A.右旋糖酐 B.409代血浆 C.全血 D.葡萄糖盐水 E.平衡盐溶液 正确答案:E
下列哪项不是比较常见的纵隔肿瘤,A.胸腺瘤 B.食管肿瘤 C.神经源性肿瘤 D.畸胎瘤 E.淋巴瘤 正确答案:B
下列哪项不引起血清PRL升高,A.肾衰竭 B.下丘脑疾病 C.原发性甲状腺功能减退症 D.应激、睡眠、吮吸 E.原发性醛固酮增多症 正确答案:E
关于纵隔肿瘤的临床表现，下列哪项不正确,A.其临床表现与肿瘤大小、部位和生长方向有关 B.肿瘤生长缓慢，阳性体征不多 C.常见症状有胸闷、胸痛等 D.压迫食管可引起吞咽困难 E.特异性症状对确诊意义较大 正确答案:B
有关传染病的流行过程，叙述正确的是,A.传染病在人群中发生、发展的过程就是传染病的流行过程 B.传染病流行过程的发生需要有患者、传播途径、易感者三个基本条件 C.传染病流行过程的本身同时受自然因素和社会因素的影响 D.在传染病流行过程中，自然因素起决定性作用 E.传染病的流行均有周期性 正确答案:C 解析:传染病的流行过程就是传染病在人群中发生、发展和转归的过程。流行过程的发生需要有三个基本条件，就是传染源、传播途径和人群易感性。这三个环节必须同时存在，若切断任何一个环节，流行即告终止。流行过程本身又受社会因素和自然因素的影响
房颤消融最常见的并发症为,A.心肌梗死 B.房室传导阻滞 C.心脏破裂 D.室间隔穿孔 E.中风 正确答案:B
不属于传染病的是,A.莱姆病 B.斑疹伤寒 C.黑热病 D.化脓性脑膜炎 E.白日咳 正确答案:D
有关鼻腔湿润的主要来源，下列哪项是错误的,A.从毛细血管渗出的液体 B.嗅膜下嗅腺分泌液 C.对呼出气体热湿回收 D.黏膜上皮内杯状细胞的分泌液 E.鼻前庭鼻毛凝结的水汽 正确答案:E  
腹部外伤合并出血性休克，主要的处理原则为:,A.快速补充液体 B.镇静，吸氧 C.输血以补充血容量 D.应用抗生素 E.抗休克同时手术探查止血 正确答案:E
肝硬化食管胃底静脉曲张使用非选择性B受体阻滞剂的应答标准是,A.静息心率下降到基础心率的75% 或50~60 次/min B.静息心率下降到基础心率的50% 或50~60 次/min C.静息心率下降到基础心率的75%或60-70 次/min D.静息心率下降到基础心率的50%或60-70 次/min E.静息心率下降到基础心率的60% 或50~60 次/min 	正确答案:A
腹股沟管的内环位于,A.陷窝韧带外侧 B.陷窝韧带内侧 C.腹壁下动脉内侧 D.腹壁下动脉外侧 E.股静脉内侧 正确答案:D
心室颤动引起阿斯综合症时，最有效的抢救方法是,A.静脉注射利多卡因 B.皮下注射肾上腺素 C.植入心脏起搏器 D.非同步电击复律 E.口对口人工呼吸 正确答案:D
患者，男性，38岁，建筑工人。因“高处坠落3小时”送入院。入院时:神志淡漠，反应迟钝，面色苍白，皮肤花纹，血压60/40mmHg，脉搏不清。根据以上判断该患者处于,A.休克代偿期 B.休克失代偿期 C.休克早期(微循环收缩期) D.晚期休克(微循环衰竭期) E. 休克不可逆期 正确答案:B
心理治疗的作用方式不包括,A.支持与安慰 B.学习与教育 C.暗示 D.压抑 E.分析与自我探索 正确答案:D
关于文拉法辛的作用机制，下述错误的是,A.小剂量时5-HT的再摄取发挥作用 B.高剂量时双重抑制NE及5-IIT的再摄取 C.对DA的再摄取抑制作用较小 D.对H1受体作用较少或无 E.对乙酰胆碱M受体及α受体亲和作用强 正确答案:E
系统性红斑狼疮诊断标准中未出现的血液学异常是,A.溶血性贫血 B.白细胞减少 C.淋巴细胞减少 D.单核细胞减少 E.血小板减少 正确答案:D
哪项不是炎性腰背痛的特点,A.隐匿起病 B.活动后加重 C.服用非甾体类消炎药疼痛可以减轻 D.夜间疼痛 E.伴晨僵 正确答案:B
以下哪项不是新生儿缺氧缺血性脑病急性期的治疗?,A.控制惊厥 B.防止脱水 C.维持良好通气 D.亚低温治疗 E.维持脑及全身良好灌注、维持正常血糖 正确答案:B
男，34岁。间断活动时胸痛2年，每于踢球时发作，不能继续跑动，需休息10分钟左右方能缓解。无高血压、糖尿病史，不吸烟。查体:BP110/70mmHg双肺呼吸音清，心尖搏动呈抬举样，HR 70bpm，胸骨左缘第3、4肋间闻及收缩期3/6级喷射性杂音，Valsalva动作后杂音增强。该患者胸痛的最主要机制是,A.舒张期缩短，冠脉灌注减少 B.心肌收缩力增强，耗氧量增加 C.收缩期缩短，心排血量降低 D.主动脉瓣狭窄，左室射血受阻 E.流出道梗阻，左室射血受阻 正确答案:E
女性，46岁。平素体健无特殊疾病病史。近半年反复空腹状态下晕厥，查血糖0.8mmol，体型稍胖。以下哪项诊断可能性大,A.药源性低血糖症 B.胰岛素自身免疫综合征 C.反应性低血糖 D.胰岛素瘤 E.伴瘤的低血糖 正确答案:D
有关小儿血管瘤的特点，下列不正确的是,A.男性多于女性 B.小儿最常见的良性肿瘤 C.属先天性错构瘤 D.病理类型多种多样 E.治疗方法繁多，预后差别大 正确答案:A
女，78岁。活动后呼吸困难5年，平时可平地缓慢步行500米左右，间断心悸半年，自觉发作时心跳快且不规律，伴胸闷气短，持续半小时至2小时可自行缓解，1天前再发心悸，伴呼吸困难，不能平卧，持续不缓解。既往陈旧性心肌梗5年。查体:BP 85/60mmHg，意识淡漠，口唇发绀，双肺满布湿音，心率170次/分，心律不齐。应首选的治疗措施是,A.静脉注射呋塞米 B.静脉滴注硝普钠 C.同步直流电复律 D.主动脉内气囊反搏 E.急诊冠脉介入治疗 正确答案:C
Colles骨折时，以下哪种情况最少见,A.骨折畸形愈合 B.骨折不愈合 C.合并尺骨茎突骨折 D.合并腕三角软骨盘破裂 E.合并下尺桡关节脱位 正确答案:B
股骨颈骨折在老年人中常见。以下哪种治疗方法最为适宜?,A.保守治疗，如卧床休息 B.髋关节置换术 C.闭合复位和外固定 D.开放复位和内固定 E.应用理疗加速恢复 正确答案:B
下列哪种物质在游离皮肤移植术后的前72小时使皮片和受区黏连,A.胶原蛋白 B.硫酸软骨素 C.纤维连接蛋白 D.纤维蛋白 E.血小板 正确答案:D
碳酸氢钠处理糖尿病酮症酸中毒的指征为,A.治疗酸中毒的起初2小时 B.出现血钾过高 C.出现心律失常 D.血pH < 7.1 E.血pH < 7.3 正确答案:D
